Accession No.,Title,Subtitle,Author 1,Author 2,Author 3,Edition,Publisher,Place,Year,Subject,Class No. ,Location,Availability Message
96,प्राचीन भारत,,,,,,,,0,History,954.01,History,Krupaya upalabdhtesathi Accession No. (96) counter-var sanga.
97,प्राचीन भारत,,,,,,,,0,History,954.01,History,Krupaya upalabdhtesathi Accession No. (97) counter-var sanga.
98,प्राचीन भारत,,,,,,,,0,History,954.01,History,Krupaya upalabdhtesathi Accession No. (98) counter-var sanga.
99,प्राचीन भारत,,,,,,,,0,History,954.01,History,Krupaya upalabdhtesathi Accession No. (99) counter-var sanga.
100,मराठ्याचा इतिहास,,सुधाकर देशपांडे,,,,कल्पना प्रकाशन,नांदेड,1994,History,954.792,History,Krupaya upalabdhtesathi Accession No. (100) counter-var sanga.
101,मराठ्याचा इतिहास,,सुधाकर देशपांडे,,,,कल्पना प्रकाशन,नांदेड,1994,History,954.792,History,Krupaya upalabdhtesathi Accession No. (101) counter-var sanga.
102,मराठ्याचा इतिहास,,सुधाकर देशपांडे,,,,कल्पना प्रकाशन,नांदेड,1994,History,954.792,History,Krupaya upalabdhtesathi Accession No. (102) counter-var sanga.
103,मराठ्याचा इतिहास,,सुधाकर देशपांडे,,,,कल्पना प्रकाशन,नांदेड,1994,History,954.792,History,Krupaya upalabdhtesathi Accession No. (103) counter-var sanga.
104,मराठ्याचा इतिहास,,सुधाकर देशपांडे,,,,कल्पना प्रकाशन,नांदेड,1994,History,954.792,History,Krupaya upalabdhtesathi Accession No. (104) counter-var sanga.
105,आधुनिक भारताचा इतिहास,,साहेबराव गाठाळ,,,,कैलाश प्रकाशन,औरंगाबाद,1996,History,954.03,History,Krupaya upalabdhtesathi Accession No. (105) counter-var sanga.
106,आधुनिक भारताचा इतिहास,,साहेबराव गाठाळ,,,,कैलाश प्रकाशन,औरंगाबाद,1996,History,954.03,History,Krupaya upalabdhtesathi Accession No. (106) counter-var sanga.
107,आधुनिक भारताचा इतिहास,,साहेबराव गाठाळ,,,,कैलाश प्रकाशन,औरंगाबाद,1996,History,954.03,History,Krupaya upalabdhtesathi Accession No. (107) counter-var sanga.
108,आधुनिक भारताचा इतिहास,,साहेबराव गाठाळ,,,,कैलाश प्रकाशन,औरंगाबाद,1996,History,954.03,History,Krupaya upalabdhtesathi Accession No. (108) counter-var sanga.
109,आधुनिक भारताचा इतिहास,,साहेबराव गाठाळ,,,,कैलाश प्रकाशन,औरंगाबाद,1996,History,954.03,History,Krupaya upalabdhtesathi Accession No. (109) counter-var sanga.
110,समाज व्यवस्था आणि समाज परिवर्तन,,,,,,,,0,SOCIOLOGY,301.254,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (110) counter-var sanga.
111,समाज व्यवस्था आणि समाज परिवर्तन,,,,,,,,0,SOCIOLOGY,301.254,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (111) counter-var sanga.
112,समाज व्यवस्था आणि समाज परिवर्तन,,,,,,,,0,SOCIOLOGY,301.254,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (112) counter-var sanga.
113,समाज व्यवस्था आणि समाज परिवर्तन,,,,,,,,0,SOCIOLOGY,301.254,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (113) counter-var sanga.
114,समाज व्यवस्था आणि समाज परिवर्तन,,,,,,,,0,SOCIOLOGY,301.254,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (114) counter-var sanga.
115,भारतीय समाजरचना,,पुजारी कृष्णकुमार,,,प्रथम Ed.,कल्पना प्रकाशन,नांदेड,1994,SOCIOLOGY,307.3,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (115) counter-var sanga.
116,भारतीय समाजरचना,,पुजारी कृष्णकुमार,,,प्रथम Ed.,कल्पना प्रकाशन,नांदेड,1994,SOCIOLOGY,307.3,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (116) counter-var sanga.
117,भारतीय समाज रचना,,कृष्णकुमार पुजारी,,,,कल्पना प्रकाशन,नांदेड,1994,SOCIOLOGY,302.5,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (117) counter-var sanga.
118,भारतीय समाज रचना,,कृष्णकुमार पुजारी,,,,कल्पना प्रकाशन,नांदेड,1994,SOCIOLOGY,302.5,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (118) counter-var sanga.
119,भारतीय समाज रचना,,कृष्णकुमार पुजारी,,,,कल्पना प्रकाशन,नांदेड,1994,SOCIOLOGY,302.5,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (119) counter-var sanga.
120,भारतीय समाज रचना,,कृष्णकुमार पुजारी,,,,कल्पना प्रकाशन,नांदेड,1994,SOCIOLOGY,302.5,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (120) counter-var sanga.
121,सहकार तत्त्व आणि व्यवहार,,पटवर्धन,नरवाडकर,,,कल्पना प्रकाशन,नांदेड,1994,ECONOMICS,334,ECONOMICS,Krupaya upalabdhtesathi Accession No. (121) counter-var sanga.
122,सहकार तत्त्व आणि व्यवहार,,पटवर्धन,नरवाडकर,,,कल्पना प्रकाशन,नांदेड,1994,ECONOMICS,334,ECONOMICS,Krupaya upalabdhtesathi Accession No. (122) counter-var sanga.
123,सहकार तत्त्व आणि व्यवहार,,पटवर्धन,नरवाडकर,,,कल्पना प्रकाशन,नांदेड,1994,ECONOMICS,334,ECONOMICS,Krupaya upalabdhtesathi Accession No. (123) counter-var sanga.
124,सहकार तत्त्व आणि व्यवहार,,पटवर्धन,नरवाडकर,,,कल्पना प्रकाशन,नांदेड,1994,ECONOMICS,334,ECONOMICS,Krupaya upalabdhtesathi Accession No. (124) counter-var sanga.
125,सहकार तत्त्व आणि व्यवहार,,पटवर्धन,नरवाडकर,,,कल्पना प्रकाशन,नांदेड,1994,ECONOMICS,334,ECONOMICS,Krupaya upalabdhtesathi Accession No. (125) counter-var sanga.
126,मराठेकालीन सरकारी अधिकारी आणि त्यांचे गैरवर्तन,,कठारे अनिल,,,,सुगावा प्रकाशन,पुणे,1995,History,954.35,History,Krupaya upalabdhtesathi Accession No. (126) counter-var sanga.
127,मराठेकालीन सरकारी अधिकारी आणि त्यांचे गैरवर्तन,,कठारे अनिल,,,,सुगावा प्रकाशन,पुणे,1995,History,954.35,History,Krupaya upalabdhtesathi Accession No. (127) counter-var sanga.
128,मराठेकालीन पाटील,,कठारे अनिल,,,,पूनम प्रकाशन,नांदेड,1996,History,954.35,History,Krupaya upalabdhtesathi Accession No. (128) counter-var sanga.
129,मराठेकालीन पाटील,,कठारे अनिल,,,,पूनम प्रकाशन,नांदेड,1996,History,954.35,History,Krupaya upalabdhtesathi Accession No. (129) counter-var sanga.
130,लोकप्रशासन शास्त्र,,बोरा पी एम,,,,कल्पना प्रकाशन,नांदेड,1996,PUBLIC ADMINISTRATION,351,PUBLIC ADMINISTRATION,Krupaya upalabdhtesathi Accession No. (130) counter-var sanga.
131,लोकप्रशासन शास्त्र,,बोरा पी एम,,,,कल्पना प्रकाशन,नांदेड,1996,PUBLIC ADMINISTRATION,351,PUBLIC ADMINISTRATION,Krupaya upalabdhtesathi Accession No. (131) counter-var sanga.
132,लोकप्रशासन शास्त्र,,बोरा पी एम,,,,कल्पना प्रकाशन,नांदेड,1996,PUBLIC ADMINISTRATION,351,PUBLIC ADMINISTRATION,Krupaya upalabdhtesathi Accession No. (132) counter-var sanga.
133,लोकप्रशासन शास्त्र,,बोरा पी एम,,,,कल्पना प्रकाशन,नांदेड,1996,PUBLIC ADMINISTRATION,351,PUBLIC ADMINISTRATION,Krupaya upalabdhtesathi Accession No. (133) counter-var sanga.
134,झुंबर आणि ऋणानुबंध,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (134) counter-var sanga.
135,झुंबर आणि ऋणानुबंध,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (135) counter-var sanga.
136,झुंबर आणि ऋणानुबंध,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (136) counter-var sanga.
137,झुंबर आणि ऋणानुबंध,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (137) counter-var sanga.
138,झुंबर आणि ऋणानुबंध,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (138) counter-var sanga.
139,झुंबर आणि ऋणानुबंध,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (139) counter-var sanga.
140,झुंबर आणि ऋणानुबंध,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (140) counter-var sanga.
141,झुंबर आणि ऋणानुबंध,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (141) counter-var sanga.
142,झुंबर आणि ऋणानुबंध,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (142) counter-var sanga.
143,झुंबर आणि ऋणानुबंध,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (143) counter-var sanga.
144,उलगुलान आणि तडजोड,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (144) counter-var sanga.
145,उलगुलान आणि तडजोड,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (145) counter-var sanga.
146,उलगुलान आणि तडजोड,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (146) counter-var sanga.
147,उलगुलान आणि तडजोड,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (147) counter-var sanga.
148,उलगुलान आणि तडजोड,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (148) counter-var sanga.
149,उलगुलान आणि तडजोड,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (149) counter-var sanga.
150,उलगुलान आणि तडजोड,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (150) counter-var sanga.
151,उलगुलान आणि तडजोड,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (151) counter-var sanga.
152,उलगुलान आणि तडजोड,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (152) counter-var sanga.
153,उलगुलान आणि तडजोड,,मुलाटे वासुदेव,,,,आनंद प्रकाशन,औरंगाबाद,1995,Marathi,491.46,Marathi,Krupaya upalabdhtesathi Accession No. (153) counter-var sanga.
154,यशोधाचा कान्हा,,जोशी मालिनी,,,,आनंद प्रकाशन,औरंगाबाद,1994,Marathi,,Marathi,Krupaya upalabdhtesathi Accession No. (154) counter-var sanga.
155,यशोधाचा कान्हा,,जोशी मालिनी,,,,आनंद प्रकाशन,औरंगाबाद,1994,Marathi,,Marathi,Krupaya upalabdhtesathi Accession No. (155) counter-var sanga.
156,अस झाल घर बुडाल,,,,,,,,0,Marathi,496.46,Marathi,Krupaya upalabdhtesathi Accession No. (156) counter-var sanga.
157,अस झाल घर बुडाल,,,,,,,,0,Marathi,496.46,Marathi,Krupaya upalabdhtesathi Accession No. (157) counter-var sanga.
158,बुजगावणं,,,,,,,,0,Marathi,496.46,Marathi,Krupaya upalabdhtesathi Accession No. (158) counter-var sanga.
